decimated,n,pct_recovered,avg_pct_chg_0709,avg_pct_chg_1921,avg_pct_chg_0721,avg_abs_gain_0721,group_label
FALSE,807,89.84,2.71,15.53,63.35,117496,Other PUMAs
TRUE,269,78.07,-16.87,16.2,43.13,127026,Decimated (bottom 25%)
