STATEFIP,income_group,mean_value_2007,mean_value_2009,mean_value_2019,mean_value_2021,median_value_2007,median_value_2009,median_value_2019,median_value_2021,n_hh_2007,n_hh_2009,n_hh_2019,n_hh_2021,pct_chg_0709,pct_chg_1921,pct_chg_0721,abs_gain_0721,recovered_07
21,High,267675.9417533906,270554.0289815935,355712.9592148804,394067.5272992461,225000,222000,285000,310000,6988,6853,6767,6824,1.0752132632279963,10.782448907405794,47.21813425515091,126391.58554585552,1
21,Low,84264.56579722193,82469.31967843193,115822.6838520799,134189.76828634818,65000,65000,85000,100000,6239,6201,6392,6871,-2.130487592032653,15.857933716788448,59.248157296945564,49925.20248912624,1
21,Middle,136349.04096736904,134474.01356825966,173968.7073363595,198222.14433700911,112500,120000,150000,175000,19301,19470,19349,19609,-1.375167280830465,13.941264134219745,45.37846612683363,61873.10336964007,1
22,High,276554.97676536936,281736.6988566989,382307.0003726115,390592.0918740662,225000,220000,285000,310000,6259,6561,6421,5810,1.8736679961198877,2.1671304719452507,41.234880833638556,114037.11510869686,1
22,Low,98111.93575147574,97114.82701783965,129303.99117024243,148510.44607030076,75000,75000,100000,115000,6330,6600,6137,6429,-1.0162970753750482,14.853721626249726,51.36837830464165,50398.51031882502,1
22,Middle,147698.0920040936,145188.8861029489,185844.37927272363,214236.14165660265,137500,135000,160000,200000,18551,19258,18371,18160,-1.698874959789709,15.277170337346908,45.050040084921925,66538.04965250904,1
23,High,333334.37971179275,367603.42812096444,395652.5666681943,482963.54169147875,275000,280000,315000,400000,1826,1859,1836,1811,10.280682250298144,22.06758716581408,44.888607682489344,149629.161979686,1
23,Low,160498.61784403995,144279.4270616626,164432.4061003341,192681.17726670543,112500,120000,135000,150000,2270,2235,2437,2406,-10.105501841852556,17.179564440074156,20.051611568355053,32182.55942266548,1
23,Middle,199980.01747987582,194625.43792443883,219804.800726351,269092.69767271884,162500,175000,200000,250000,6086,5945,6161,6623,-2.6775572994315966,22.423485193905968,34.55979305522258,69112.68019284302,1
24,High,636412.9091555062,647427.7428983528,650375.937997374,708008.5402678603,625000,500000,550000,580000,8904,8951,9322,9809,1.7307684342014449,8.861429044860975,11.249870969361476,71595.63111235411,1
24,Low,274634.92276773485,260585.50797974845,265095.35510856926,301513.3352590139,225000,225000,240000,265000,8748,8559,8620,9164,-5.1156694299465775,13.737690777542955,9.786960893538938,26878.412491279072,1
24,Middle,390794.13803676894,342121.9366616924,366253.03125404665,410818.67643743753,350000,300000,330000,375000,25675,24893,25985,27150,-12.454690753446535,12.167993540094008,5.12406314518068,20024.538400668593,1
25,High,608578.7569228591,639282.1040940866,893480.4829009309,973622.7954479647,625000,500000,700000,750000,9781,9647,9780,10335,5.045090191197599,8.969676907416,59.9830398896715,365044.03852510557,1
25,Low,347553.10139362677,296505.7889805861,369604.01750516647,447247.10880183964,350000,260000,300000,375000,9683,9274,9739,10147,-14.687629662445802,21.00710155175406,28.684539717371948,99694.00740821287,1
25,Middle,407974.50316065416,356344.6175202957,462946.7474938463,517146.2641269358,350000,320000,400000,460000,28120,27671,27868,29162,-12.655174585757722,11.70750565297145,26.759456809312283,109171.76096628164,1
26,High,323419.0343878769,277282.97744689736,385813.8527152529,423927.2919598411,275000,225000,310000,350000,15232,14953,14433,14581,-14.265102555976503,9.87871196857142,31.07679106215637,100508.25757196418,1
26,Low,124596.30138543354,109181.51090509901,130166.18429833086,158534.12153927694,112500,87000,100000,128000,17317,16476,16584,16742,-12.371788174232805,21.79363049924622,27.238224390672833,33937.82015384339,1
26,Middle,178474.86392314345,146407.08773370722,190821.31564270338,225591.24719043923,162500,130000,170000,200000,49979,48336,47208,47322,-17.967670900281828,18.221198942386277,26.399450450112397,47116.38326729578,1
27,High,429255.7343904856,409285.60479474656,479887.6867046972,539940.4218230146,350000,325000,400000,435000,7473,7390,7133,7762,-4.652268565286685,12.513914564194968,25.785255400185587,110684.687432529,1
27,Low,177986.99407999564,159055.15073562198,190299.5109723672,227717.1901286901,162500,140000,170000,200000,10115,10134,10849,10680,-10.636644234726951,19.662519869405347,27.940353903804564,49730.19604869446,1
27,Middle,247111.79842591254,218539.21622123034,265048.27006443695,300909.7137308355,225000,200000,250000,280000,26967,26397,28002,28353,-11.562613516103985,13.530155717552923,21.770678554246484,53797.915304922935,1
28,High,238403.97799211505,235273.59527439615,316762.6738472338,313748.6724127501,187500,185000,215000,250000,4366,4476,4080,3671,-1.3130580890820656,-0.9515014499269293,31.603790782017477,75344.69442063503,1
28,Low,80313.42256724632,79988.38969294932,124650.7885017918,108104.99370265487,65000,55000,80000,80000,4259,4375,4011,4409,-0.4047055447361265,-13.273718520359854,34.60389340541266,27791.57113540855,1
28,Middle,120590.48644508614,122748.25175252512,142472.7333858585,164695.95610361217,95000,100000,125000,150000,13071,12330,12094,11840,1.7893329490975838,15.598228650226408,36.574584744386584,44105.46965852604,1
29,High,314009.3570462492,304599.4310319616,376961.6699329463,456782.54495906405,225000,250000,300000,365000,8715,8740,8635,8403,-2.9967024240305293,21.17479876410678,45.46781320653013,142773.18791281484,1
29,Low,109006.61948575599,107341.00661496766,133038.84558472846,159316.24996475267,85000,84000,100000,130000,10139,9655,9771,10410,-1.5279924087600754,19.751677988884015,46.152821467480415,50309.63047899668,1
