county_geoid,bartik,emp_2006
01001,-0.0523288807956191,10676
01003,-0.054274787087353,54793
01005,-0.0802890141197469,9448.5
01007,-0.0675405174616706,3155.5
01009,-0.0613211016307045,6649.5
01011,-0.0742105413210095,1988
01013,-0.0611869202552333,6256.5
01015,-0.0514670017098905,42088.5
01017,-0.0715311952631312,9312
01019,-0.0671022792801036,3804.5
01021,-0.0681254249420153,7584.5
01023,-0.0807720617135667,3793.5
01025,-0.065446135137673,7604
01027,-0.079658223515724,3940
01029,-0.0840871511656504,2660
01031,-0.0591449138292938,13138
01033,-0.0631564938362277,19170
01035,-0.0619625989177446,3211.5
01037,-0.0863155085341336,1021.5
01039,-0.0559573892173234,12170.5
01041,-0.0761928280582715,3570
01043,-0.061337536467506,23753.5
01045,-0.0458432350837494,10845
01047,-0.06373112781047,13555.5
01049,-0.0822097331552309,22168
01051,-0.065514076040767,13341
01053,-0.0569765240541633,11191
01055,-0.0523713833078893,32524.5
01057,-0.064208110396593,4021
01059,-0.0796103771171206,11211.5
01061,-0.0501638141487314,4389
01063,-0.0552245986274811,1769.5
01065,-0.0691095961787606,2836.5
01067,-0.0851606104827603,4029
01069,-0.0478943894701676,49489.5
01071,-0.0755070944600794,13740
01073,-0.0499757156223092,351641
01075,-0.0772048885609179,3528.5
01077,-0.0479012743761324,28549.5
01079,-0.0658023023781116,4907
01081,-0.0592839546317236,39335
01083,-0.0724943577532994,16448.5
01085,-0.077116800726848,2389.5
01087,0.010852900601394,6047
01089,-0.0523437986621361,146585.5
01091,-0.0665915515816604,6800
01093,-0.0749894423943085,9232
01095,-0.0716320964408971,31389.5
01097,-0.0501463629257156,161206.5
01099,-0.0643099737303056,8148.5
01101,-0.051822113464852,113099.5
01103,-0.0685153984221334,45179
01105,-0.0524586787254693,1622
01107,-0.0704777806402773,3423.5
01109,-0.0640326546722702,11108.5
01111,-0.0765600224788656,5145.5
01113,-0.0586961720046587,9770
01115,-0.0637042430288034,12787.5
01117,-0.0587585998173703,71356.5
01119,-0.0525660585034123,3349
01121,-0.0777132444711617,24923
01123,-0.0554107368208366,16200.5
01125,-0.0588566177081966,75028
01127,-0.0412924573706935,16683
01129,-0.0806209969008591,2967.5
01131,-0.0792243517375214,2465
01133,-0.0872809963081146,9821
02013,-0.109680963151696,1769.5
02016,-0.10100547977364,4440.5
02020,-0.0527078616322661,137008
02060,-0.0599483280005301,338.5
02090,-0.0432128300051818,26993.5
02100,-0.0370984691331818,595
02110,-0.0426008811229267,10877
02122,-0.0430704058282017,12767
02130,-0.0495800499750837,4708.5
02150,-0.0647274950593085,3778.5
02164,-0.0497392350806604,147
02170,-0.0468655070813893,13402
02201,-0.0539538632218066,984
02220,-0.030928158796224,3297
02232,-0.0632991667355851,685.5
02240,-0.0474042847311012,1260.5
02261,-0.0439354415528055,2891
02280,-0.0455779104091789,1567
04001,-0.0243509480501922,6112
04003,-0.043589554737016,29781
04005,-0.0443940504025667,47470
04007,-0.0441931925246507,12486
04009,-0.0435106123894436,6065
04012,-0.05007208679509,3927
04013,-0.0589875501232376,1600734
04015,-0.063751268467838,49757
04017,-0.0489210119631551,19788
04019,-0.053736977132338,333969.5
04021,-0.0527329395950057,37684.5
04023,-0.053783739651564,12820
04025,-0.057563511971382,62523.5
04027,-0.0572036131557819,44028
05001,-0.0748729303499094,9164
05003,-0.0854856378585681,7639
05005,-0.0473719261524742,13072
05007,-0.0633759448898143,100075.5
05011,-0.0700767416156669,3399.5
05013,-0.0763573966078865,682
05015,-0.0719445549417698,8079
05017,-0.0532235070344044,2855
05019,-0.0538072577702227,8000
05021,-0.0532640781652326,3863.5
05023,-0.0698049994183982,6353
05025,-0.0666913406394587,708
05027,-0.0680680262443585,8571
05029,-0.0616761319828581,5752.5
05031,-0.0526229739508114,37946.5
05033,-0.0617888242249434,19249.5
05035,-0.0443056182973233,14564.5
05037,-0.0571615784931569,4459
05039,-0.0484861801613967,3238
05041,-0.0553004288917218,4027
05043,-0.0468002384004647,5504.5
05045,-0.0540394599803657,32626
05049,-0.034015699527958,1202
05051,-0.0415566730896889,34140
05053,-0.0846229757323913,3389
05055,-0.0714478348010823,13281
05057,-0.0692545643798502,7593
05059,-0.0603687416013778,6192
05061,-0.0881407097640669,6916
05063,-0.0553527284808537,16314.5
05065,-0.0406762312074928,2536
05067,-0.0580489707778498,4811
05069,-0.055267257879999,27051
05071,-0.0650501464448317,7579
05073,-0.0544356201674758,964
05075,-0.0369170237279095,3165
05077,-0.0371848587307375,1163
05079,-0.0593632747482161,1763
05081,-0.0911308935441969,3271.5
05083,-0.0741460175376521,4793
05085,-0.063527597304565,9967
05087,-0.0867094945710752,2624
05091,-0.0617867384077161,11164.5
05093,-0.0640321930473641,15154
05095,-0.0367724002323082,1805.5
05097,-0.0652409587417227,1108
05099,-0.0621097268841785,2624.5
05101,-0.0309262126094128,733
05103,-0.0635931556500231,8694
05105,-0.0509792471535342,854.5
05107,-0.0284867111252173,5340.5
05109,-0.0596001413811251,2286.5
05111,-0.0597869441426227,4174
05113,-0.0619422572979057,5536
05115,-0.0578314095541091,24194.5
05117,-0.05304530374837,1148.5
05119,-0.0409578117602014,224995
05121,-0.0582490343071164,4295
05123,-0.0521947907988208,6991
05125,-0.0532911919818925,17337
05127,-0.075463583060011,2100.5
05129,-0.04690657595691,1253
05131,-0.0661979433401704,72304.5
05133,-0.0789740094093647,5663.5
05139,-0.0736540050073796,18251.5
05141,-0.0466909975488307,3323.5
05143,-0.0596733644244291,83615
05145,-0.0483564532321503,22228
05147,-0.0645234208171596,1400.5
05149,-0.08793824959823,5944
05999,-0.0953971486840373,5939
06001,-0.0554362675119562,630581
06005,-0.0385024867105985,9289
06007,-0.0438288218429677,59585.5
06009,-0.0593709252907224,7349.5
06011,-0.0547143243815769,3986.5
06013,-0.0517493782427814,338383.5
06015,-0.0242582385697401,4444.5
06017,-0.0517514161456967,44513.5
06019,-0.0542601393909055,258480
06021,-0.0467628636452022,4611
06023,-0.0458806433739755,37137
06025,-0.0572093163890128,34156
06027,-0.0300514206974046,5839
06029,-0.0588687689598206,183292
06031,-0.0486066332439278,23639.5
06033,-0.0354836038675178,10675.5
06035,-0.0295955355058,3917.5
06037,-0.0493297242920304,3895886
06039,-0.0539930420376469,24975.5
06041,-0.0464280354941608,101415.5
06043,-0.0473032304783387,3584
06045,-0.0460321888127385,24988
06047,-0.0624390590702967,43568
06049,-0.0237319347928556,1585.5
06053,-0.0460425992096268,108994
06055,-0.0535645153299372,56084.5
06057,-0.0498353607714274,29833.5
06059,-0.0585322304387432,1478452
06061,-0.0576258911023046,133377
06063,-0.0520167253909245,4928.5
06065,-0.0646523280896915,556789
06067,-0.0509649805819695,480346
06069,-0.0681145892319857,12192
06071,-0.0566469777765462,579135
06073,-0.0528974592213612,1206482.5
06075,-0.0426263535898649,494146
06077,-0.0546683154710107,179407.5
06079,-0.0454288479585985,88356.5
06081,-0.0504154756889675,368859
06083,-0.0503117862336714,145278
06085,-0.0537202552240241,886011
06087,-0.0471830104403187,76611.5
06089,-0.043720996961279,52804
06091,-0.0674548784008321,385
06093,-0.0436327352808574,10012.5
06095,-0.054941755642425,108713
06097,-0.0553887944242805,165314.5
06099,-0.0589502352195721,142017
06101,-0.0498782175334199,20453.5
06103,-0.0553648959300987,14067.5
06105,-0.0516106703354005,1715.5
06107,-0.057698640547074,94949
06109,-0.0413597652286145,14510.5
06111,-0.0584062202930468,273745
06113,-0.0540026202301699,63886.5
06115,-0.0463585691767111,11384
06999,-0.078841319576454,212052
08001,-0.0634655055676439,130145
08005,-0.0553654272647787,270364
08007,-0.049720281371031,3281
08009,-0.0215946328127847,555
08011,-0.0509353102749491,527
08013,-0.0465843184900745,136269
08014,-0.0621268507289064,29723.5
08015,-0.047172936862942,5130.5
08017,-0.0589919287237488,554
08019,-0.0627571987674563,2804
08021,-0.0408639384165028,701
08023,-0.0620305767475622,249
08027,-0.0659853281095269,643
08029,-0.0469592072050407,6149.5
08031,-0.0429610049710976,395133
08035,-0.0574795362719135,70483
08037,-0.0491613991489453,33225
08039,-0.10268461532151,2665.5
08041,-0.0475976572233533,218676
08045,-0.0649713486250144,20221
08049,-0.0627413681841289,5558
08051,-0.0601896086270119,6641.5
08057,-0.0493192234122656,261.5
08059,-0.0599776527458964,182550
08061,-0.00646018162695572,197
08063,-0.0466338969525606,1853.5
08067,-0.0519092739972787,19889.5
08069,-0.0534897064343929,108282
08071,-0.0519929706531174,4325.5
08073,-0.0455387463647518,1275
08075,-0.042137457657655,5795
08077,-0.0510895414646286,50397
08081,-0.0440466009014187,4095
08083,-0.049752244303437,7173
08085,-0.0587536522441419,12307
08087,-0.0663322013494265,8524
08089,-0.032316816878569,5202
08093,-0.0677398952029146,1338
08095,-0.023059249951038,919.5
08097,-0.040060473068047,16908
08099,-0.0445518713032828,3337
08101,-0.0437981194242422,45388
08105,-0.0460114942667534,2791
08107,-0.0802669699981433,18684.5
08109,-0.0540995680099257,965.5
08113,-0.058597590289481,5022.5
08115,-0.0410123567640614,430.5
08117,-0.0362673956404382,22942.5
08119,-0.0433691794851985,5704.5
08121,-0.0673191630943527,577.5
08123,-0.06745074377909,62578
08125,-0.0438289197766306,2517
09001,-0.0488870218338929,478608
09003,-0.0483791433760569,465029.5
09005,-0.0527734990139933,56858
09007,-0.0403868399219841,64862.5
09009,-0.0387654499616555,339971
09011,-0.0379971227046001,112852
09013,-0.0493459506147238,32208
09015,-0.0489155025908363,31443.5
10001,-0.0516117596993,51903
10003,-0.0483440510718074,273234
10005,-0.0621650743523413,64905
11001,-0.0247580176027158,446705.5
12001,-0.0355690312016724,87094.5
12003,-0.0325140335939359,5542.5
12005,-0.0490109062833162,61188
12007,-0.0435623449042883,4974
12009,-0.0535466530724307,186366
12011,-0.0498127829421052,665570
12013,-0.0536903689296798,1853.5
12017,-0.0370218789368061,28940.5
12019,-0.0464032439092044,39210.5
12021,-0.0602918048698522,119036
12023,-0.0482410021153945,18838.5
12027,-0.0491762912841539,5619.5
12029,-0.0725991762770676,1822.5
12031,-0.0531564885494973,431447.5
12033,-0.0440705099504414,110116
12035,-0.0751197509725552,18072.5
12037,-0.047004937629574,2164
12039,-0.0448763984995121,9826
12041,-0.0500369972220828,1635
12045,-0.0526072425188599,2509
12047,-0.0689902190451382,2806
12049,-0.038247434069612,4708.5
12051,-0.0595449527292246,6366
12053,-0.0435805104223568,33124
12055,-0.0404779692235404,20907
12057,-0.0508466961357228,530605
12059,-0.0408989488557209,2041
12061,-0.0521185973769911,42833
12063,-0.0458254686744473,9929.5
12065,-0.043671461028598,2148
12067,-0.0471022104135807,854
12069,-0.0527923329167475,71135
12071,-0.0610682879448913,199318
12073,-0.0422512346394985,98033
12075,-0.0591451469368768,6417.5
12077,-0.102863570141178,1488
12079,-0.0506010150610416,3588.5
12081,-0.0580080374238449,87144.5
12083,-0.0556559880382674,89708
12085,-0.0514160312403069,54092
12086,-0.0441939415461311,867798
12087,-0.0402272291061505,30893
12089,-0.0465553793291189,15841
12091,-0.0501939140597151,72258
12093,-0.0391253812280588,7501
12095,-0.049295813658595,662256
12097,-0.0486512688154367,64247.5
12099,-0.048321671866433,497384.5
12101,-0.0452112581134695,79846
12103,-0.0465813866174368,383469
12105,-0.0553666646610501,195445
12107,-0.0632731341681713,14615.5
12109,-0.0437145637619589,47820.5
12111,-0.0525791728126031,59116
12113,-0.0573942003684392,24126
12115,-0.0525386663639568,144502
12117,-0.0607098029473293,168861.5
12119,-0.085794986825593,14646
12121,-0.0625685562858505,7821.5
12123,-0.0695801457098719,5218.5
12125,-0.0471392511658143,1688.5
12127,-0.0464152025538575,148935
12129,-0.0705396392467991,3376.5
12131,-0.0618499288456794,13360.5
12133,-0.0531069141459413,4225.5
13001,-0.0471460347054345,5632
13003,-0.0994483910368723,1388
13005,-0.0549799568141931,2618.5
13007,-0.051813048308992,380
13009,-0.0264232945272412,13854.5
13011,-0.0754669523116476,1795.5
13013,-0.069522916469143,11581
13015,-0.0706866264363563,29176.5
13017,-0.0786626903120123,6953.5
13019,-0.0811654700542846,4389.5
13021,-0.0404221595379342,78780.5
13023,-0.079547065133416,2319
13025,-0.0765017109474514,1491
13027,-0.0685834400570452,2293
13029,-0.0528106077360563,4576.5
13031,-0.0536694128637182,17385
13033,-0.0507769924708915,5079
13035,-0.0599503357745517,5413.5
13037,-0.0467059063776044,840
13039,-0.046144044641972,8993.5
13043,-0.0457276506681316,2532.5
13045,-0.0639899350127208,29366
13049,-0.0692238246397232,1935.5
13051,-0.0477816357636635,121132.5
13053,-0.0728145791292549,777.5
13055,-0.0902999295697749,5559
13057,-0.0596855031442334,41107
13059,-0.046702840284519,46636
13061,-0.0974743414656597,424
13065,-0.0808690540353566,1821.5
13067,-0.05799531807639,324165
13069,-0.0698730907979771,14359.5
13071,-0.0637475519710517,11880.5
13073,-0.065688892205563,25703
13075,-0.0693818319736334,3751
13077,-0.0639871235897773,27693.5
13079,-0.0800222133314177,620
13081,-0.0520763799768195,7743.5
13083,-0.0910686840180226,3061.5
13085,-0.0645149853526168,5645.5
13087,-0.0693521291112252,9123
13089,-0.041817458056766,274805
13091,-0.0353600694272717,4129
13093,-0.07732852185196,2616
13095,-0.0482329558299935,43965
13097,-0.0605592487436966,37911
13099,-0.0701966720525002,3218.5
13101,-0.123239409545566,98
13103,-0.0781342586364273,7148.5
13105,-0.0821694894184609,6007
13107,-0.0699721136157565,6182.5
13109,-0.0753665827152241,3691
13111,-0.0457462020823758,4913.5
13113,-0.0597061930497713,39468
13115,-0.0405532168992418,36664
13117,-0.0754656223339504,49201
13119,-0.066612314549634,7957
13121,-0.0473105178975882,769819
13123,-0.0743833434040514,7292.5
13125,-0.0586718623509926,184.5
13127,-0.048867613865304,32755.5
13129,-0.0768195858454468,17260.5
13131,-0.0648576857948197,4272.5
13133,-0.0747930932919987,3974.5
13135,-0.0576918102840653,318376
13137,-0.0631831745925073,12485.5
13139,-0.0636253510951668,61248
13141,-0.0147416082590662,562.5
13143,-0.077066927974178,6341.5
13145,-0.0754796586374044,3731
13149,-0.0810530924733716,940.5
13151,-0.0515419064414404,41540
13153,-0.0541961993264261,36812
13155,-0.0532641873064591,1941.5
13157,-0.0697398234254476,17308
13159,-0.0857518811595091,1873
13161,-0.0775995951566281,4222
13163,-0.0750841891232666,4562
13165,-0.0826208321649142,2267.5
13167,-0.0643650736380543,1247.5
13169,-0.0649098105686353,2352
13171,-0.0556898197288784,2519.5
13173,-0.0626279910044982,972.5
13175,-0.0596388009452062,16909.5
13177,-0.0794598521520667,3345
13179,-0.0465174630435348,10268
13181,-0.074846734678654,1064.5
13183,-0.0182559996186362,466
13185,-0.0518105008742897,42321.5
13187,-0.0545939492032311,4965.5
13189,-0.0678987694427199,7013.5
13191,-0.0521993814620041,1682.5
13193,-0.0664673295841197,2406.5
13195,-0.0697646744063456,2890
13197,-0.0866360246022708,1573.5
13199,-0.0661011933963163,3940
13201,-0.0402317027108212,1215
13205,-0.0829158655320639,6719
13207,-0.0501041601815422,4397.5
13209,-0.0337792612963352,1101.5
13211,-0.0670786696760474,5410
13213,-0.0934207316870979,10409
13215,-0.0479283706012536,82812.5
13217,-0.0652981327411188,18378.5
13219,-0.0551908173145684,7251
13221,-0.0662504995992298,936.5
13223,-0.0661444023940585,14030.5
13225,-0.067930944850025,5731.5
13227,-0.0610444244770438,6119
13229,-0.0633260937289384,3423.5
13231,-0.0756786214384551,1428
13235,-0.02369248524073,2355.5
13237,-0.0744120912668411,5851.5
13239,-0.0760032625417939,295.5
13241,-0.0663826171859561,5345.5
13243,-0.0535050111240876,1371
13245,-0.0407737212337457,84526
13247,-0.0651829519778793,32649.5
13249,-0.103578479607544,1296.5
13251,-0.0687796202783581,2890.5
13253,-0.0262238973769564,1598.5
13255,-0.0577427261017993,19674.5
13257,-0.0532648927363818,9240.5
13259,-0.0177721803267203,548
13261,-0.0472842442958968,9902.5
13263,-0.0868079630649991,404
13267,-0.036902427954433,3024.5
13269,-0.0373791024003879,1375
13271,-0.0779370460355248,3940.5
13273,-0.0669046713951456,1723.5
13275,-0.0545240972316857,17064.5
13277,-0.0499568687852567,17932.5
13279,-0.0551371800059293,10388
13283,-0.0599336125411658,809
13285,-0.066322125278343,30425
13287,-0.0611538691619888,1770
13289,-0.0565198294491873,791
13291,-0.0505101170615947,5031
13293,-0.0580347683332914,6567.5
13295,-0.0790680370586447,14508.5
13297,-0.0678849736200784,17166
13299,-0.0486648489865175,12892.5
13301,-0.0753889127074004,1159
13303,-0.0637423208906888,6413
13305,-0.0556403187691274,7127
13307,-0.10502329294508,317.5
13309,-0.0561186719179783,1197
13311,-0.0598265152943063,5338.5
13313,-0.0770183371533633,56385.5
13315,-0.0350540032577305,621.5
13317,-0.0644574714708942,3113.5
13319,-0.0976075077269254,2467
13321,-0.0482806443748559,2529
15001,-0.0443114071099769,55497
15003,-0.0406221792758789,359580.5
15007,-0.0401903885904589,26550
15009,-0.0390951786995909,65270
16001,-0.0609463766124939,187342
16003,-0.0783023672505534,686
16005,-0.0448847338158267,26419.5
16009,-0.0692129184184707,2481.5
16011,-0.0608945243302771,10315.5
16013,-0.0633348375435837,12727
16015,-0.0714205228784029,747.5
16017,-0.0677185848396572,13720
16019,-0.0485310757612801,46811.5
16021,-0.0618480829715374,2585.5
16027,-0.0661375769034548,46299
16031,-0.0520320334494359,6141
16035,-0.0465330289399443,2075.5
16039,-0.0369541844098976,4316
16041,-0.0494487734276971,2219
16043,-0.050597031291775,1537
16045,-0.0432480822205872,2410.5
16047,-0.0593219450938217,2883
16049,-0.0579841874950813,3287
16051,-0.0806198857236248,3611.5
16053,-0.068791216225207,5329.5
16055,-0.0549600818321757,46995
16057,-0.0423598471551533,8563.5
16059,-0.0407837911848806,1769.5
16061,-0.0685956852279374,730.5
16065,-0.0434515371867529,11435.5
16067,-0.0588083051416067,4792.5
16069,-0.0493531842843254,17268.5
16073,-0.0787211240770443,1762.5
16075,-0.0706580308567149,4524.5
16077,-0.0838945009285389,1985
16079,-0.0577469512052136,3676
16081,-0.0699002483382485,1941
16083,-0.0524237072113582,28126
16085,-0.0579760411124954,3390
16087,-0.0521146964869202,2637.5
16999,-0.0905320607627392,15576.5
17001,-0.0509560991559082,32673
17005,-0.0241987657963612,4663
17007,-0.0891530943994402,13180.5
17009,-0.031601253378338,2968
17011,-0.0483711810065585,10520.5
17015,-0.0633983801461932,3565
17019,-0.0496199458394995,73832.5
17021,-0.0469130104823924,13789.5
17023,-0.0775606647678059,4202
17027,-0.0527552124993162,9359.5
17031,-0.0467960289052103,2362947
17033,-0.0745964473094609,6274.5
17037,-0.0547804407918461,27517
17039,-0.0414945075766165,4354
17041,-0.0765898620048144,7227.5
17043,-0.0552093665073875,600020
17045,-0.070596872220266,5806
17047,-0.0987083657702764,2982
17049,-0.054255999560818,18180.5
17051,-0.0493984940936399,5467
17053,-0.0481964872286813,4184.5
17055,-0.0450022416390207,7725
17057,-0.0319470438805487,6757.5
17063,-0.0453495617908375,14244
17065,-0.0368738119293757,1324.5
17067,-0.062288056764367,3531.5
17071,-0.0338560744356116,595.5
17073,-0.0701155914004759,13900.5
17077,-0.039145553229303,17962.5
17081,-0.0470997972791794,17574
17083,-0.0249924775156886,4615
17085,-0.0604457486164468,7635.5
17087,-0.0437167706259588,1508.5
17089,-0.0599287650809893,188085.5
17091,-0.0459363294860755,36643.5
17093,-0.0661076517810341,16357
17095,-0.0242896665979577,17802
17097,-0.0567360197945381,328300
17099,-0.0535999177375117,39312
17101,-0.0479319992780904,3723.5
17103,-0.064395123563958,11764.5
17105,-0.0648730866964702,12080.5
17107,-0.0410433581943185,7855.5
17109,-0.0426851667881862,9225.5
17111,-0.0654214777008189,100037
17113,-0.0475489243833818,81307
17115,-0.0519271182849715,47536.5
17117,-0.0511676460216057,10382
17119,-0.0523766486894097,86544
17121,-0.0513066170360363,12294
17123,-0.0630085063771681,2975
17125,-0.0377672665722706,2448
17129,-0.0637768591596933,1638.5
17131,-0.0585796450285096,2286
17135,-0.0448680511964115,8170.5
17137,-0.0375712527216542,14300.5
17141,-0.065729506668546,15354.5
17143,-0.0414068744240942,101333.5
17145,-0.056037195929431,5043.5
17147,-0.0550130914197605,2644.5
17149,-0.0489493789757348,3223
17157,-0.0516870945119513,10789
17161,-0.0455830073685797,61366.5
17163,-0.0429412886647728,82016
17167,-0.0351382441735566,83411.5
17169,-0.0354100574053736,1434.5
17173,-0.0592592198352481,4561
17175,-0.0506206510740555,1013
17177,-0.0634395370805928,17138.5
17179,-0.0606939416786681,47631.5
17183,-0.0505968868363553,27614.5
17185,-0.0494471769756727,3343
17187,-0.0399948743452841,5891
17189,-0.0743464609227429,5588
17191,-0.0550049073498976,3696.5
17195,-0.0530496962752599,19036
17197,-0.0604499999335427,178704.5
17201,-0.0561551880537281,125039
17203,-0.0582280550360996,8626.5
17999,-0.0857500732443816,76754
18001,-0.0757254177892211,13077
18003,-0.0518248497359833,173729
18005,-0.0681045163500494,40412.5
18007,-0.0761225702695658,1719
18011,-0.060749280782575,14889
18013,-0.0547083090345768,2302.5
18015,-0.081734345097139,4487.5
18017,-0.0607088218638151,13967
18021,-0.0724648265729062,6153.5
18023,-0.0717111879058625,9429.5
18025,-0.0723009983808948,1262
18027,-0.061820699693157,9327
18029,-0.0457898092549775,14813
18031,-0.0814244464924238,12400.5
18033,-0.0836789533546898,19889
18035,-0.0449666573865062,44069.5
18037,-0.0761435447838486,28085
18039,-0.0876232477950385,131771
18041,-0.0565901391415319,7774.5
18043,-0.0580717401168102,26795.5
18047,-0.0618766811263684,3846
18051,-0.0772207285648809,15835
18053,-0.0412459370534372,25755
18055,-0.0376141407011073,5355
18057,-0.0524005866419115,100476
18059,-0.0628127184064788,18187
18061,-0.0479839430342547,9971
18063,-0.049440156164886,40461
18065,-0.0558393956316375,11078
18067,-0.0656936789460802,39218.5
18069,-0.0631029590338227,15730.5
18071,-0.0698773214728473,20156
18073,-0.0558781646002097,10308
18075,-0.0726385260111874,6513
18077,-0.0552479485719186,13630.5
18079,-0.0844228025823555,8420.5
18081,-0.0550387100341023,45367
18083,-0.0384834977469016,14112
18085,-0.0779773630166209,35269
18087,-0.0907214581594843,12530.5
18089,-0.0503121394049033,178148
18091,-0.0572956974297702,37055.5
18093,-0.0582075271057823,13140.5
18095,-0.0466941057862629,39387
18097,-0.0504096228085075,542714.5
18099,-0.067481016632533,17725
18103,-0.0637366045194915,8339
18105,-0.0478850821104655,49638
18107,-0.0702958043582599,15412.5
18109,-0.0619473560299343,14406
18111,-0.0876417629585789,2971.5
18113,-0.0892848750533219,17836.5
18117,-0.0769450991826575,6287.5
18119,-0.0775070478312476,3993.5
18123,-0.0669250968978342,5544
18125,-0.0444560831777549,2517
18127,-0.0528994408701575,51750.5
18129,-0.0763904137753226,8062.5
18131,-0.0627451411016283,3664.5
18133,-0.045613275854043,11674
18135,-0.069052011932651,6100
18137,-0.0703415200582123,10939.5
18139,-0.0741497775156355,4678
18141,-0.0436009903275501,122633.5
18143,-0.0671149012346729,6666.5
18145,-0.0716990882883109,15566.5
18147,-0.0695295778029597,5586.5
18151,-0.0733126576330681,14609.5
18153,-0.0491963686086463,3925.5
18157,-0.059275548707849,63731.5
18159,-0.0624011439648653,3573
18163,-0.0510285280031613,111892
18165,-0.0551436838676362,4257.5
18167,-0.0487481444961097,48946
18169,-0.0586828708378799,13197.5
18171,-0.0657437717438887,1510
18173,-0.0613785212814742,13425.5
18175,-0.072787456560683,5279.5
18177,-0.0516037699408968,30048.5
18179,-0.0573225601182595,9908
18181,-0.0660640797089541,6820
18183,-0.0744399354435896,10865
19001,-0.0634557043746657,2038
19005,-0.0561941764322594,5139
19007,-0.0574512317437788,4178
19009,-0.0502894050083223,1284
19011,-0.0580202004646716,4757.5
19013,-0.0514387509648662,62359.5
19015,-0.0464536311332252,7144.5
19017,-0.0506699350336783,7790.5
19019,-0.0528509376362122,5520.5
19021,-0.0576755588550997,8929.5
19023,-0.0546878287033778,2466
19027,-0.0438834151361975,11146
19029,-0.0490915266557546,5019.5
19031,-0.0541682218026563,3871
19033,-0.0438374623044924,23158.5
19035,-0.0612519541560362,4062.5
