county_geoid,h2007,fhfa_rec_0709,fhfa_covid_1921,fhfa_trough_1221
01001,190.29,-1.2980188133900894,8.3985691326663,21.352292513058615
01003,387.52,-11.702621800165147,18.499475864823033,68.69070882927694
01005,230.71,1.0619392310692977,16.317379861584946,10.906640643152565
01007,145.25,-0.6609294320137793,7.021881567560873,25.62763024234509
01009,181.1,1.3031474323578207,15.293879410722422,37.64883650649744
01013,169.55,-2.028900029489822,6.690598502197198,9.468470184797106
01015,295.09,0.43037717306586565,12.508631745092224,27.567950486559045
01017,207.7,0.5584978334135959,13.741533706077536,33.18075367255695
01019,155.28,-1.287995878413184,16.774438950171145,31.665475339528214
01021,210.55,0.27546900973640653,14.347845581311924,35.93625073290336
01023,125.05,-3.254698120751698,-4.618310241782131,15.46493463783607
01025,199.31,4.184436305253114,8.583731604599443,13.875241923477756
01027,152.81,-2.5063804724821726,4.235874858248279,15.76529856275004
01029,154.28,1.0046668395125913,17.40841851311028,33.726227492949604
01031,193.15,0.7558892052808686,10.669348184818507,14.691107310816598
01033,197.64,3.663226067597658,14.078584256866279,30.843046623794223
01035,100,2.279999999999993,20.498712245375806,23.55059416636658
01039,146.49,0.3959314628984911,13.786288673844883,19.941096185618832
01041,146.9,4.57454050374404,5.117338225061685,20.45520440707451
01043,208.17,0.9175193351587785,15.320069204152254,34.60218093699514
01045,167.53,2.4711991882050865,6.785671354730138,14.455968562777821
01047,165.96,0.08435767654855209,12.516237983891898,10.867199999999988
01049,176.86,0.497568698405515,18.97311256266141,38.041243170201525
01051,195.22,-2.2538674316156193,11.304929504991247,25.426185782210364
01053,205.8,-1.0447035957240058,12.931752940087037,29.580831960898912
01055,244.12,0.7373422906767013,14.179480227739273,26.290536777620698
01057,170.68,3.064213733302079,15.1690155769842,35.686641697877675
01059,130.78,-2.255696589692613,10.59960792266612,30.273110916474245
01061,150.11,-2.7513157018186796,8.150587065912895,27.017364657814102
01065,138.31,0.26028486732700973,11.695949970220365,19.976009596161546
01067,183.34,-2.4871822842805758,3.6935102108218265,16.49248654999691
01069,288.76,-0.9731264718105037,10.769716974506638,20.79264790350375
01071,201.28,1.5699523052464137,18.34068922473362,34.807780204154184
01073,419.95,-2.536016192403856,12.847347527968257,45.203496312482926
01075,148.96,0.06041890440386943,8.078030898140875,28.92394190223333
01077,200.51,5.96977706847539,15.312888520513868,35.11872966542029
01079,180.36,2.9219339099578523,21.62754456024154,39.28392169984942
01081,390.38,-2.8049592704544213,13.23483332931621,40.150950150651845
01083,204.21,2.272170804563922,23.27523133204219,41.74089469517022
01085,121.14,1.6014528644543446,8.547008547008538,16.033679684700818
01087,134.53,-6.251393741172972,9.293335395082725,25.097345132743378
01089,406.81,1.2339912981490064,24.187185711808578,46.26145559441453
01091,172.98,3.6651636027286383,2.6271542664985326,17.18965620687587
01093,137.29,-0.03641925850388361,10.155734459548649,25.003744196495447
01095,233.33,0.2057172245317762,17.597279647590703,35.55902004454343
01097,433.17,-1.650622157582482,18.12587412587412,42.08091513163428
01099,148.61,-1.978332548280748,9.462999345121158,25.102911458723142
01101,287.74,-3.756863835406965,12.273284071600754,14.647137150466039
01103,305.26,1.5232916202581492,21.536786985555835,39.00141309467733
01107,131.94,0.704865848112779,13.566305508927211,20.20675173639155
01109,176.63,-1.0077563267848033,8.848290475917754,17.349962953815744
01111,189.43,-3.7744813387530995,16.646280440342487,34.10035155001601
01113,221,-5.375565610859723,14.09095335475703,26.2227968110321
01115,318.95,-2.326383445681146,14.239407270201454,39.41299049906404
01117,357.52,-3.4207876482434396,16.06886288998357,47.951074336919916
01119,125.02,3.527435610302354,12.380038387715908,21.395534290271122
01121,208.65,-0.6182602444284702,12.723858379517239,30.361777636527364
01123,201.68,-1.7750892502975124,13.832718442067904,37.00747568995559
01125,241.75,0.5625646328852207,12.602659006371319,31.403644490287075
01127,216.76,0.918066063849432,12.896122960020717,31.00045087921446
01129,107.43,0.5864283719631436,-0.9207469236726551,13.684834123222744
01131,135.31,4.737269972655378,9.394323767242764,10.666452802951332
01133,188.77,-0.8846744715791832,18.047092843127132,33.083013156362796
02020,434.76,-1.5709816910479346,7.095235182579973,22.979490541299864
02063,124.13,-2.1268025457181983,21.407822738634064,36.08965621687113
02090,336.23,-3.56601136127056,11.036029948374182,25.20954616111435
02110,348.46,-4.164036044309249,9.562594268476632,33.68820431508013
02122,174.91,1.7151678005831617,10.841455177072268,31.79393035396707
02130,220.49,3.102181504830148,6.512885451247485,37.11944309820683
02150,209.18,5.440290658762792,9.210479415433959,27.57744836775482
02170,141.33,-1.8325903912828179,13.165318788790682,32.54277112857038
02195,118.37,11.134578018078912,11.305265626832405,36.257267963534545
02220,301.91,-5.706998774469218,9.537132777811564,25.76995600251415
04001,267.67,-7.7296671274330375,25.686459057985832,82.99571020019066
04003,451.43,-10.276233303059168,21.604518064695057,37.76241752592042
04005,720.46,-14.329733781195353,23.671066476644608,92.74889977580337
04007,515.5,-15.412221144519878,25.568953288073757,94.63483587246739
04009,256.24,-12.300967842647525,21.27234961104549,60.968753378743656
04012,324.52,-26.54998151115493,23.080791149849134,91.37346885587698
04013,704.39,-34.282144834537675,28.628521029711695,139.85712083054943
04015,526.91,-30.682659277675494,28.760394507832142,119.11343666699578
04017,387.5,-17.243870967741938,31.166141888633604,102.23932820153956
04019,672.32,-20.606258924321764,23.77504495247882,83.49001594592664
04021,439.95,-35.66768951017162,29.672218737658838,140.0034396766704
04023,209.49,-16.66427991789584,22.421674657152412,77.28263502058607
