puma_geoid,fhfa_rec_0709,fhfa_covid_1921,fhfa_trough_1221
100100,3.647840001674315,13.935696584303487,32.62382905598166
100200,1.7341779802195307,23.7478132982746,44.08348507648458
100301,1.2339912981490064,24.187185711808578,46.26145559441453
100302,1.2339912981490064,24.187185711808578,46.26145559441453
100400,0.9566454118378316,18.702378446975825,36.657029963296026
100500,0.42576935337904454,19.00752901158903,37.849356626030065
100600,1.835508286725448,21.557046652830095,39.06447703576129
100700,0.496841356665383,15.956626042522558,34.24756844828313
100800,-0.8499475162843491,14.668349909657458,38.695360472722605
100900,0.7373422906767013,14.179480227739273,26.290536777620698
101000,-1.1912321304873443,13.642224389075501,30.15289265103446
101100,0.43037717306586565,12.508631745092224,27.567950486559045
101200,-3.4207876482434396,16.06886288998357,47.951074336919916
101301,-2.536016192403856,12.847347527968257,45.203496312482926
101302,-2.536016192403856,12.847347527968257,45.203496312482926
101303,-2.536016192403856,12.847347527968257,45.203496312482926
101304,-2.536016192403856,12.847347527968257,45.203496312482926
101305,-2.536016192403856,12.847347527968257,45.203496312482926
101400,0.9396861556760046,12.125700484554834,30.28665891685334
101500,0.5896418089896349,12.786022345963204,29.27309180010349
101600,0.5625646328852207,12.602659006371319,31.403644490287075
101700,1.0083892768896436,9.54362260474291,17.344020136742326
101800,-0.3577415745535355,13.994777199589345,35.52026705354998
101900,-2.8049592704544213,13.23483332931621,40.150950150651845
102000,-3.756863835406965,12.273284071600754,14.647137150466039
102100,-1.9933028872261525,10.417441562635723,21.593039280945348
102200,0.509029711323574,8.610901231458188,20.632408836553868
102300,0.6023015930116971,10.319839654441681,16.070142150810874
102400,-3.136963235956038,12.500913104496243,20.75668237837521
102500,-0.46648026423396993,8.764503354026317,19.638603779550408
102600,-11.702621800165147,18.499475864823033,68.69070882927694
102701,-1.650622157582482,18.12587412587412,42.08091513163428
102702,-1.650622157582482,18.12587412587412,42.08091513163428
102703,-1.650622157582482,18.12587412587412,42.08091513163428
200101,-1.5709816910479346,7.095235182579973,22.979490541299864
200102,-1.5709816910479346,7.095235182579973,22.979490541299864
200200,-0.47142273430456183,12.273722514063717,32.255463542344934
200300,-3.0660288323109777,10.283989878421519,28.20027715664226
400100,-34.282144834537675,28.628521029711695,139.85712083054943
400101,-34.282144834537675,28.628521029711695,139.85712083054943
400102,-34.282144834537675,28.628521029711695,139.85712083054943
400103,-34.282144834537675,28.628521029711695,139.85712083054943
400104,-34.282144834537675,28.628521029711695,139.85712083054943
400105,-34.282144834537675,28.628521029711695,139.85712083054943
400106,-34.282144834537675,28.628521029711695,139.85712083054943
400107,-34.282144834537675,28.628521029711695,139.85712083054943
400108,-34.282144834537675,28.628521029711695,139.85712083054943
400109,-34.282144834537675,28.628521029711695,139.85712083054943
400110,-34.282144834537675,28.628521029711695,139.85712083054943
400111,-34.282144834537675,28.628521029711695,139.85712083054943
400112,-34.282144834537675,28.628521029711695,139.85712083054943
400113,-34.282144834537675,28.628521029711695,139.85712083054943
400114,-34.282144834537675,28.628521029711695,139.85712083054943
400115,-34.282144834537675,28.628521029711695,139.85712083054943
400116,-34.282144834537675,28.628521029711695,139.85712083054943
400117,-34.282144834537675,28.628521029711695,139.85712083054943
400118,-34.282144834537675,28.628521029711695,139.85712083054943
400119,-34.282144834537675,28.628521029711695,139.85712083054943
400120,-34.282144834537675,28.628521029711695,139.85712083054943
400121,-34.282144834537675,28.628521029711695,139.85712083054943
400122,-34.282144834537675,28.628521029711695,139.85712083054943
400123,-34.282144834537675,28.628521029711695,139.85712083054943
400124,-34.282144834537675,28.628521029711695,139.85712083054943
400125,-34.282144834537675,28.628521029711695,139.85712083054943
400126,-34.282144834537675,28.628521029711695,139.85712083054943
400127,-34.282144834537675,28.628521029711695,139.85712083054943
400128,-34.282144834537675,28.628521029711695,139.85712083054943
400129,-34.282144834537675,28.628521029711695,139.85712083054943
400130,-34.282144834537675,28.628521029711695,139.85712083054943
400131,-34.282144834537675,28.628521029711695,139.85712083054943
400132,-34.282144834537675,28.628521029711695,139.85712083054943
400133,-34.282144834537675,28.628521029711695,139.85712083054943
400134,-34.282144834537675,28.628521029711695,139.85712083054943
400201,-20.606258924321764,23.77504495247882,83.49001594592664
400202,-20.606258924321764,23.77504495247882,83.49001594592664
400203,-20.606258924321764,23.77504495247882,83.49001594592664
400204,-20.606258924321764,23.77504495247882,83.49001594592664
400205,-20.606258924321764,23.77504495247882,83.49001594592664
400206,-20.606258924321764,23.77504495247882,83.49001594592664
400207,-20.606258924321764,23.77504495247882,83.49001594592664
400208,-20.606258924321764,23.77504495247882,83.49001594592664
400209,-20.606258924321764,23.77504495247882,83.49001594592664
400300,-13.441846961912862,28.976375302155272,94.54927879455128
400400,-14.329733781195353,23.671066476644608,92.74889977580337
400500,-24.86608892566302,24.143116736637648,118.7720848056537
400600,-30.29895276466659,28.23306067662465,116.53786534952884
400700,-20.07498535442297,25.472547254725477,68.17976172522997
400800,-16.43677476584318,24.434398510921618,87.15675771218775
400803,-35.66768951017162,29.672218737658838,140.0034396766704
400805,-35.66768951017162,29.672218737658838,140.0034396766704
400807,-35.66768951017162,29.672218737658838,140.0034396766704
400900,-11.970745517213732,21.82127944893103,48.2456677725951
500100,-9.712706870788567,21.94227242011777,77.90296457995916
500200,-9.206817581256054,18.025304754751858,65.35898335266978
500300,-1.9247955368028813,15.78770797912224,35.084820471261416
500400,-0.0025999098679375665,14.564051905158244,24.018239433768894
500500,1.9301683236333662,11.828028058964689,33.263875553586324
500600,0.04131016598311932,12.938622744908379,23.797882832706755
500700,-1.7981102197650374,12.278253387020046,25.465424679791163
500800,3.8354320338955343,10.950023241250905,19.66053402150377
500900,-0.9033834946803321,11.790441503064763,24.6675087302177
501000,-0.9033834946803321,11.790441503064763,24.6675087302177
501100,0.706776196065674,12.816786688750113,28.272577314340133
501200,-1.082229189845263,12.125109080053287,27.863614937411608
501300,1.3889588007996605,10.393373973139415,30.242178418521092
501400,1.4710039976560456,14.610549208970852,32.11711785477691
501500,2.7884971097190876,11.518763284467404,37.03666907912038
501600,-1.7544140037053426,14.473459604452211,32.67469728770865
501700,0.2418984541459467,12.585333099190331,23.722495422630544
501800,1.861888660694281,11.476344640463589,31.417310618008926
501900,1.5943555426390885,10.306626808565058,26.88743437593412
502000,1.6517795794212824,15.168942840456532,33.324770904326506
600101,-26.622296173044923,9.811223452523233,108.11295930833573
600102,-26.622296173044923,9.811223452523233,108.11295930833573
600103,-26.622296173044923,9.811223452523233,108.11295930833573
600104,-26.622296173044923,9.811223452523233,108.11295930833573
600105,-26.622296173044923,9.811223452523233,108.11295930833573
600106,-26.622296173044923,9.811223452523233,108.11295930833573
600107,-26.622296173044923,9.811223452523233,108.11295930833573
600108,-26.622296173044923,9.811223452523233,108.11295930833573
600109,-26.622296173044923,9.811223452523233,108.11295930833573
600110,-26.622296173044923,9.811223452523233,108.11295930833573
600300,-26.748505312859116,15.53496787251281,86.66163788210517
600701,-20.817490494296575,12.36264043373765,89.17433609997552
600702,-20.817490494296575,12.36264043373765,89.17433609997552
601100,-28.613020584623342,15.807136707096067,101.16434430599276
601301,-34.6496188475831,14.931903659038891,110.8919478138048
601302,-34.6496188475831,14.931903659038891,110.8919478138048
601303,-34.6496188475831,14.931903659038891,110.8919478138048
601304,-34.6496188475831,14.931903659038891,110.8919478138048
601305,-34.6496188475831,14.931903659038891,110.8919478138048
601306,-34.6496188475831,14.931903659038891,110.8919478138048
601307,-34.6496188475831,14.931903659038891,110.8919478138048
601308,-34.6496188475831,14.931903659038891,110.8919478138048
601309,-34.6496188475831,14.931903659038891,110.8919478138048
601500,-17.407534278523862,16.429956465478462,74.43692094890167
601700,-26.34964070630569,17.717724125422762,97.6497984773847
601901,-35.9100294444648,19.81119478716018,98.84983600744614
601902,-35.9100294444648,19.81119478716018,98.84983600744614
601903,-35.9100294444648,19.81119478716018,98.84983600744614
601904,-35.9100294444648,19.81119478716018,98.84983600744614
601905,-35.9100294444648,19.81119478716018,98.84983600744614
601906,-35.9100294444648,19.81119478716018,98.84983600744614
601907,-35.9100294444648,19.81119478716018,98.84983600744614
602300,-13.98990505948804,17.92663203293472,60.67946577629382
602500,-44.96812237526383,18.59106529209622,101.49303528234212
602901,-40.514582070451944,21.357419685468116,93.23728165242893
602902,-40.514582070451944,21.357419685468116,93.23728165242893
602903,-40.514582070451944,21.357419685468116,93.23728165242893
602904,-40.514582070451944,21.357419685468116,93.23728165242893
602905,-40.514582070451944,21.357419685468116,93.23728165242893
603100,-28.64702464113944,20.425681713558454,82.02730082066185
603300,-26.641416161854433,16.432626878780024,91.0911215302591
603701,-30.74114543080244,14.602007390454098,90.18130445020016
603702,-30.74114543080244,14.602007390454098,90.18130445020016
603703,-30.74114543080244,14.602007390454098,90.18130445020016
603704,-30.74114543080244,14.602007390454098,90.18130445020016
603705,-30.74114543080244,14.602007390454098,90.18130445020016
603706,-30.74114543080244,14.602007390454098,90.18130445020016
603707,-30.74114543080244,14.602007390454098,90.18130445020016
603708,-30.74114543080244,14.602007390454098,90.18130445020016
603709,-30.74114543080244,14.602007390454098,90.18130445020016
603710,-30.74114543080244,14.602007390454098,90.18130445020016
603711,-30.74114543080244,14.602007390454098,90.18130445020016
603712,-30.74114543080244,14.602007390454098,90.18130445020016
603713,-30.74114543080244,14.602007390454098,90.18130445020016
603714,-30.74114543080244,14.602007390454098,90.18130445020016
603715,-30.74114543080244,14.602007390454098,90.18130445020016
603716,-30.74114543080244,14.602007390454098,90.18130445020016
603717,-30.74114543080244,14.602007390454098,90.18130445020016
603718,-30.74114543080244,14.602007390454098,90.18130445020016
603719,-30.74114543080244,14.602007390454098,90.18130445020016
603720,-30.74114543080244,14.602007390454098,90.18130445020016
603721,-30.74114543080244,14.602007390454098,90.18130445020016
603722,-30.74114543080244,14.602007390454098,90.18130445020016
603723,-30.74114543080244,14.602007390454098,90.18130445020016
603724,-30.74114543080244,14.602007390454098,90.18130445020016
603725,-30.74114543080244,14.602007390454098,90.18130445020016
603726,-30.74114543080244,14.602007390454098,90.18130445020016
603727,-30.74114543080244,14.602007390454098,90.18130445020016
603728,-30.74114543080244,14.602007390454098,90.18130445020016
603729,-30.74114543080244,14.602007390454098,90.18130445020016
603730,-30.74114543080244,14.602007390454098,90.18130445020016
603731,-30.74114543080244,14.602007390454098,90.18130445020016
603732,-30.74114543080244,14.602007390454098,90.18130445020016
603733,-30.74114543080244,14.602007390454098,90.18130445020016
603734,-30.74114543080244,14.602007390454098,90.18130445020016
603735,-30.74114543080244,14.602007390454098,90.18130445020016
603736,-30.74114543080244,14.602007390454098,90.18130445020016
603737,-30.74114543080244,14.602007390454098,90.18130445020016
603738,-30.74114543080244,14.602007390454098,90.18130445020016
603739,-30.74114543080244,14.602007390454098,90.18130445020016
603740,-30.74114543080244,14.602007390454098,90.18130445020016
603741,-30.74114543080244,14.602007390454098,90.18130445020016
603742,-30.74114543080244,14.602007390454098,90.18130445020016
603743,-30.74114543080244,14.602007390454098,90.18130445020016
603744,-30.74114543080244,14.602007390454098,90.18130445020016
603745,-30.74114543080244,14.602007390454098,90.18130445020016
603746,-30.74114543080244,14.602007390454098,90.18130445020016
603747,-30.74114543080244,14.602007390454098,90.18130445020016
603748,-30.74114543080244,14.602007390454098,90.18130445020016
603749,-30.74114543080244,14.602007390454098,90.18130445020016
603750,-30.74114543080244,14.602007390454098,90.18130445020016
603751,-30.74114543080244,14.602007390454098,90.18130445020016
603752,-30.74114543080244,14.602007390454098,90.18130445020016
603753,-30.74114543080244,14.602007390454098,90.18130445020016
603754,-30.74114543080244,14.602007390454098,90.18130445020016
603755,-30.74114543080244,14.602007390454098,90.18130445020016
603756,-30.74114543080244,14.602007390454098,90.18130445020016
603757,-30.74114543080244,14.602007390454098,90.18130445020016
603758,-30.74114543080244,14.602007390454098,90.18130445020016
603759,-30.74114543080244,14.602007390454098,90.18130445020016
603760,-30.74114543080244,14.602007390454098,90.18130445020016
603761,-30.74114543080244,14.602007390454098,90.18130445020016
603762,-30.74114543080244,14.602007390454098,90.18130445020016
603763,-30.74114543080244,14.602007390454098,90.18130445020016
603764,-30.74114543080244,14.602007390454098,90.18130445020016
603765,-30.74114543080244,14.602007390454098,90.18130445020016
603766,-30.74114543080244,14.602007390454098,90.18130445020016
603767,-30.74114543080244,14.602007390454098,90.18130445020016
603768,-30.74114543080244,14.602007390454098,90.18130445020016
603769,-30.74114543080244,14.602007390454098,90.18130445020016
603900,-40.62154326234529,20.7124989691855,115.04333774056117
604101,-15.17248737463548,4.503189661260332,60.72989925869607
604102,-15.17248737463548,4.503189661260332,60.72989925869607
604701,-56.827284490726484,21.160330997019194,153.28409200269465
604702,-56.827284490726484,21.160330997019194,153.28409200269465
605301,-43.24336643333876,17.12976531728274,114.5191275431384
605302,-43.24336643333876,17.12976531728274,114.5191275431384
605303,-43.90107297696149,17.75739561007463,123.60945707383569
605500,-29.939385542585985,12.3826231181424,100.51103447490921
605700,-23.83598133786367,17.128734703698807,90.89859618616163
605901,-26.81675755475883,12.29610605955438,73.19694682639089
605902,-26.81675755475883,12.29610605955438,73.19694682639089
605903,-26.81675755475883,12.29610605955438,73.19694682639089
605904,-26.81675755475883,12.29610605955438,73.19694682639089
605905,-26.81675755475883,12.29610605955438,73.19694682639089
605906,-26.81675755475883,12.29610605955438,73.19694682639089
605907,-26.81675755475883,12.29610605955438,73.19694682639089
605908,-26.81675755475883,12.29610605955438,73.19694682639089
605909,-26.81675755475883,12.29610605955438,73.19694682639089
605910,-26.81675755475883,12.29610605955438,73.19694682639089
605911,-26.81675755475883,12.29610605955438,73.19694682639089
605912,-26.81675755475883,12.29610605955438,73.19694682639089
605913,-26.81675755475883,12.29610605955438,73.19694682639089
605914,-26.81675755475883,12.29610605955438,73.19694682639089
605915,-26.81675755475883,12.29610605955438,73.19694682639089
605916,-26.81675755475883,12.29610605955438,73.19694682639089
605917,-26.81675755475883,12.29610605955438,73.19694682639089
605918,-26.81675755475883,12.29610605955438,73.19694682639089
606101,-27.266166734649055,17.453015912648496,104.30134469222416
606102,-27.266166734649055,17.453015912648496,104.30134469222416
606103,-27.266166734649055,17.453015912648496,104.30134469222416
606501,-45.9316089010851,22.072039979236834,125.7510164131908
606502,-45.9316089010851,22.072039979236834,125.7510164131908
