income_group,n,intercept,beta,se_beta,t_stat,p_value,r_squared,adj_r_squared
Low (bottom quintile),51,17.312375940050647,-0.021838731538464478,0.21907356902252995,-0.09968674740592984,0.9209997587250449,2.0276393168215938e-4,-0.020201261294201966
Middle (quintiles 2-4),51,15.089897951379688,-0.24008071799047714,0.13642882434356363,-1.7597506915832597,0.08469199311256967,0.05944179111716971,0.04024672562976506
High (top quintile),51,14.113162452350453,-0.2222089153782073,0.17166727503249357,-1.2944162790266642,0.20158879658610548,0.03306357227729941,0.013330175793162646
