puma_geoid,hc_share,n_orig
102100,0.186568506264319,7848
102600,0.174474565945781,16415
102400,0.287334164370941,1660
101700,0.344445945943589,879
100800,0.234649201716413,5939
102300,0.212044375568997,2128
101100,0.274116276058526,7723
101800,0.304127273544558,2160
101000,0.307967817463639,2581
102200,0.420699823252069,929
100100,0.252143577629757,4527
100700,0.341431214611626,3867
102500,0.228301164040621,4815
100400,0.285362965182003,2766
100900,0.291877417435287,6722
101400,0.312203612353651,2162
101301,0.280818472422802,61627
101302,0.280818472422802,61627
101303,0.280818472422802,61627
101304,0.280818472422802,61627
101305,0.280818472422802,61627
100600,0.246137106437451,7149
101900,0.160977501939488,10312
100200,0.177284393923493,18947
100301,0.17515612802498,30744
100302,0.17515612802498,30744
100500,0.212180347150765,11347
102701,0.284145273229567,29682
102702,0.284145273229567,29682
102703,0.284145273229567,29682
102000,0.228034304537968,17607
101500,0.18138600885386,11150
101200,0.15023681464237,24914
101600,0.178006620080912,13595
200400,0.147465886624888,203
200101,0.132154778093708,32356
200102,0.132154778093708,32356
200300,0.146868263643737,4660
200200,0.157833272052682,7466
400300,0.223554364644201,3677
400900,0.206430661643877,9245
400400,0.125576375944275,10193
400800,0.244853529302319,7658
400600,0.240994457130925,19020
400100,0.231498311731412,656886
400101,0.231498311731412,656886
400102,0.231498311731412,656886
400103,0.231498311731412,656886
400104,0.231498311731412,656886
400105,0.231498311731412,656886
400106,0.231498311731412,656886
400107,0.231498311731412,656886
400108,0.231498311731412,656886
400109,0.231498311731412,656886
400110,0.231498311731412,656886
400111,0.231498311731412,656886
400112,0.231498311731412,656886
400113,0.231498311731412,656886
400114,0.231498311731412,656886
400115,0.231498311731412,656886
400116,0.231498311731412,656886
400117,0.231498311731412,656886
400118,0.231498311731412,656886
400119,0.231498311731412,656886
400120,0.231498311731412,656886
400121,0.231498311731412,656886
400122,0.231498311731412,656886
400123,0.231498311731412,656886
400124,0.231498311731412,656886
400125,0.231498311731412,656886
400126,0.231498311731412,656886
400127,0.231498311731412,656886
400128,0.231498311731412,656886
400129,0.231498311731412,656886
400130,0.231498311731412,656886
400131,0.231498311731412,656886
400132,0.231498311731412,656886
400133,0.231498311731412,656886
400134,0.231498311731412,656886
400201,0.189183356711847,120481
400202,0.189183356711847,120481
400203,0.189183356711847,120481
400204,0.189183356711847,120481
400205,0.189183356711847,120481
400206,0.189183356711847,120481
400207,0.189183356711847,120481
400208,0.189183356711847,120481
400209,0.189183356711847,120481
400803,0.255754001372429,53919
400805,0.255754001372429,53919
400807,0.255754001372429,53919
400500,0.160798971143799,24882
400700,0.220377401258004,17647
501700,0.275117920910821,2726
501800,0.351473984912707,391
500300,0.290383627890278,1862
500100,0.154046997389034,24895
501900,0.361055122164056,796
501600,0.206279192591942,4564
500500,0.243279510788119,3869
500400,0.258139732013014,873
501300,0.255817259540328,1689
500600,0.300697593629428,2804
501400,0.230772841655265,6738
500700,0.416467259626437,656
501100,0.175183840553465,7387
501500,0.33360240511374,683
502000,0.309015408368547,1130
500800,0.250992373111772,2733
500900,0.199832979574794,28739
501000,0.199832979574794,28739
501200,0.172426205903528,8334
500200,0.173458445040214,18650
600101,0.127268370036865,196121
600102,0.127268370036865,196121
600103,0.127268370036865,196121
