puma_geoid,cluster,cluster_label
3401105,1,Below-Average Recovery
3401106,1,Below-Average Recovery
3401201,1,Below-Average Recovery
3401202,1,Below-Average Recovery
3401203,3,Persistently Depressed
3401204,3,Persistently Depressed
3401205,1,Below-Average Recovery
3401301,3,Persistently Depressed
3401302,3,Persistently Depressed
3401401,1,Below-Average Recovery
3401402,1,Below-Average Recovery
3401403,4,Above-Average Recovery
3401404,4,Above-Average Recovery
3401501,1,Below-Average Recovery
3401502,1,Below-Average Recovery
3401503,1,Below-Average Recovery
3401504,4,Above-Average Recovery
3401600,1,Below-Average Recovery
3401700,1,Below-Average Recovery
3401800,3,Persistently Depressed
3401901,1,Below-Average Recovery
3401902,4,Above-Average Recovery
3401903,4,Above-Average Recovery
3401904,1,Below-Average Recovery
