county_geoid,hc_share,n_orig
"",0.0819378877651637,114599
19041,0.203389830508475,1003
27061,0.231032515687393,3506
18151,0.190213645761544,2902
19043,0.264090177133655,621
27063,0.242616033755274,474
18153,0.325377883850438,1257
19045,0.334262809341234,2869
27065,0.286803519061584,1705
18155,0.240549828178694,582
19047,0.311608961303462,491
18157,0.122787071625792,12314
27067,0.220905628438426,2363
19049,0.132801256051289,7643
27069,0.328638497652582,213
18159,0.22809364548495,1495
13301,0.422459893048128,187
31121,0.358381502890173,346
40031,0.232292024259069,8739
32013,0.181818181818182,836
13303,0.42756183745583,566
31123,0.315151515151515,165
40033,0.326271186440678,236
32015,0.244604316546763,139
31125,0.297872340425532,94
40035,0.395730706075534,609
13305,0.211309523809524,1344
32017,0.294117647058824,170
31127,0.270627062706271,303
40037,0.354985618408437,4172
32019,0.215587044534413,7904
51720,0.386206896551724,145
13309,0.410714285714286,56
40039,0.231818181818182,1100
31129,0.277777777777778,162
19051,0.24187725631769,277
27071,0.288640595903166,537
18161,0.215106732348112,609
19053,0.300970873786408,309
18163,0.201089148850343,14874
27073,0.284697508896797,281
19055,0.193548387096774,1147
18165,0.277533039647577,1135
27075,0.219178082191781,803
19057,0.312446351931331,2330
27077,0.189320388349515,206
18167,0.260046668395126,7714
19059,0.164626682986536,1634
27079,0.213313161875946,2644
18169,0.290636042402827,2264
24001,0.27699632114261,4621
32021,0.162337662337662,154
31131,0.218721037998146,1079
24003,0.172902381110889,90126
13311,0.243430152143845,2169
40041,0.292383292383292,2035
32023,0.25836378971043,3557
40043,0.430555555555556,72
31133,0.359375,64
13313,0.208579242838635,6947
24005,0.246383189394356,109074
40045,0.5,76
13315,0.370967741935484,124
31135,0.422764227642276,123
32027,0.26890756302521,119
13317,0.292857142857143,280
31137,0.225538971807629,603
24009,0.188164812324245,16358
40047,0.237632508833922,3396
32029,0.198098256735341,631
51730,0.460169834209462,2473
13319,0.4,315
31139,0.270462633451957,281
40049,0.423108218063466,1229
51735,0.113652113652114,1443
19061,0.131067961165049,8240
27081,0.211822660098522,203
18171,0.206677265500795,629
19063,0.220873786407767,412
18173,0.139799110818376,6073
27083,0.172043010752688,1488
19065,0.286516853932584,890
18175,0.232971372161895,2026
27085,0.204034729315628,3916
19067,0.423076923076923,494
27087,0.324503311258278,151
18177,0.254233988709363,5137
19069,0.35,360
18179,0.199499165275459,2396
27089,0.307522123893805,452
24011,0.26728882507777,4179
32031,0.157585300078726,59701
13321,0.309333333333333,750
31141,0.186081694402421,1322
40051,0.31445523193096,3708
24013,0.147324807776583,25101
32033,0.249158249158249,594
24015,0.203949351823937,13268
31143,0.311320754716981,212
40053,0.30188679245283,106
31145,0.228985507246377,345
24017,0.25755025856002,32681
40055,0.516431924882629,213
31147,0.295275590551181,254
24019,0.294790343074968,3148
51740,0.32283403328667,12858
40059,0.288888888888889,90
19071,0.309210526315789,456
27091,0.288942695722357,1239
18181,0.229007633587786,1834
19073,0.493920972644377,658
18183,0.178205900060205,3322
27093,0.22838650023116,2163
19075,0.195143104943625,1153
27095,0.299875699192045,3218
19077,0.320719016083255,1057
27097,0.249426166794185,2614
19079,0.333710407239819,884
27099,0.246408494690818,3202
16001,0.135711714442697,52781
24021,0.165075635188721,40854
16003,0.188679245283019,318
24023,0.25,2040
31151,0.259833134684148,839
40061,0.417582417582418,364
16005,0.16619170984456,7720
40063,0.473551637279597,397
31153,0.137390445623997,16202
24025,0.189914245488289,39065
16007,0.304824561403509,456
31155,0.211515863689777,1702
24027,0.130058010456206,41889
40065,0.256910569105691,1230
16009,0.212058212058212,481
40067,0.445255474452555,137
31157,0.286602600339175,1769
24029,0.243888888888889,1800
51750,0.131609870740306,851
