puma_geoid,state_fips,puma_code,puma_name
0500400,05,00400,"Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties PUMA"
0500500,05,00500,"Craighead (West), Greene, Randolph, Lawrence & Clay Counties PUMA"
0500600,05,00600,"Crittenden, Mississippi & Craighead (East) Counties PUMA"
0500700,05,00700,"St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties PUMA"
0501800,05,01800,Southeast Arkansas PUMA
0501900,05,01900,South Central Arkansas PUMA
0502000,05,02000,Southwest Arkansas PUMA
0501500,05,01500,"Logan, Polk, Franklin, Sevier, Howard & Scott Counties PUMA"
0501400,05,01400,Sebastian & Crawford Counties PUMA
0500200,05,00200,Washington County PUMA
0501600,05,01600,"Garland, Hot Spring, Clark & Montgomery Counties PUMA"
0501300,05,01300,"Pope, Johnson, Yell, Conway & Perry Counties PUMA"
0500800,05,00800,"White, Jackson, Prairie & Woodruff Counties PUMA"
0501700,05,01700,"Jefferson, Grant & Arkansas (Northwest) Counties PUMA"
0501100,05,01100,Faulkner & Lonoke Counties PUMA
0500900,05,00900,"Pulaski County (Outer)--North Little Rock, Sherwood & Jacksonville Cities PUMA"
0501200,05,01200,Saline County PUMA
0501000,05,01000,Pulaski County (Central)--Little Rock City PUMA
0607105,06,07105,San Bernardino County (Southwest)--Redlands & Yucaipa Cities PUMA
0606503,06,06503,Riverside County (Southwest)--Temecula City PUMA
0607306,06,07306,San Diego County (Northwest)--Escondido City (East) PUMA
0607318,06,07318,San Diego County (South)--San Diego City (Southeast/Encanto & Skyline) PUMA
0606505,06,06505,"Riverside County (Southwest)--Menifee, Lake Elsinore & Canyon Lake Cities PUMA"
0605912,06,05912,"Orange County (Northwest)--Westminster, Stanton & Garden Grove (West) Cities PUMA"
0603763,06,03763,Los Angeles County (South Central)--Long Beach City (North) PUMA
0603762,06,03762,Los Angeles County (South Central)--Carson City PUMA
0603729,06,03729,Los Angeles County (West Central)--LA City (West Central/Westwood & West Los Angeles) PUMA
