puma_geoid,lisa_p,lisa_type
0102200,0.07218232681495379,Not Significant
0101700,0.03986483942331536,Low-Low (Unrecovered Core)
0101500,0.022166674001497275,Low-Low (Unrecovered Core)
0101400,0.04089581071984517,Low-Low (Unrecovered Core)
0100100,0.17425041960828616,Not Significant
0100200,0.40151970896146916,Not Significant
0100400,0.5456312387732102,Not Significant
0101000,0.30050030318646703,Not Significant
0101800,0.011654440559389287,Low-Low (Unrecovered Core)
0101900,0.20495541981446758,Not Significant
0102400,0.0981650415430585,Not Significant
0102500,0.1054252931510177,Not Significant
0102300,0.4913514158227042,Not Significant
0102600,0.5934845203778418,Not Significant
0102703,0.11595757869862289,Not Significant
0100600,0.300815812968982,Not Significant
0101100,0.19795435983625462,Not Significant
0102701,0.3187518546503226,Not Significant
0101600,0.4226764564374103,Not Significant
0100700,0.2114522296354137,Not Significant
0100301,0.33229904976157576,Not Significant
0100302,0.5713664095969828,Not Significant
0100500,0.12779938019244336,Not Significant
0100900,0.0486926616939943,Low-Low (Unrecovered Core)
0102702,0.2235939824254262,Not Significant
0101305,0.007485539648469883,Low-Low (Unrecovered Core)
0102100,0.10599560883238361,Not Significant
0102000,0.4575206479713223,Not Significant
0101200,0.029812682994727776,Low-Low (Unrecovered Core)
0101304,0.04549250000170176,Low-Low (Unrecovered Core)
0100800,0.03216671849198412,Low-Low (Unrecovered Core)
0101303,0.06313009673580683,Not Significant
0101301,0.18044662663607566,Not Significant
0101302,0.09779500872728368,Not Significant
0400127,4.324669153110161e-5,High-High
0400126,1.9138511311928396e-8,High-High
0400128,2.35171433385495e-6,High-High
0400110,0.025491937081982965,High-High
0400109,3.8636028557907295e-8,High-High
0400106,7.011301195722754e-5,High-High
0400119,3.927022099159643e-6,High-High
0400123,1.1830847340064535e-22,High-High
0400105,1.1848361669796825e-6,High-High
0400115,8.183754114886955e-7,High-High
0400114,0.0012068349273516145,High-High
0400113,4.1014529585553847e-4,High-High
0400117,2.2966053160620247e-5,High-High
0400118,6.183050566702571e-23,High-High
0400103,1.543837678452891e-5,High-High
0400104,8.080695523556911e-5,High-High
0400122,1.6089855109035532e-19,High-High
0400116,5.424840288065016e-18,High-High
0400125,3.75687584803063e-18,High-High
0400132,1.3856444171819983e-8,High-High
0400131,0.0022502442463247967,High-High
0400130,5.100090052231918e-8,High-High
0400129,7.524967271298886e-6,High-High
0400111,6.702981084416694e-6,High-High
0400206,0.6570629516898906,Not Significant
0400209,0.8589002940632453,Not Significant
0400207,0.819211013158515,Not Significant
0400107,1.8463686206073678e-7,High-High
0400133,1.8867544324974437e-14,High-High
0400112,0.012282421800691517,Spatial Outlier
0400102,2.229344432967935e-5,High-High
0400101,4.259852107171093e-6,High-High
0400803,8.233159271624366e-5,High-High
0400100,9.428891930719183e-8,High-High
0400108,9.942702396033756e-5,High-High
0400120,7.711800751049658e-11,High-High
0400121,4.872340980758279e-24,High-High
0400124,1.011415784252416e-18,High-High
0400700,0.011059732175627557,Spatial Outlier
0400600,4.833442679561398e-7,High-High
0400400,0.390877170080984,Not Significant
0400300,0.6396272429328491,Not Significant
0400800,0.1059987517234916,Not Significant
0400900,0.7896422808238976,Not Significant
0400201,0.01861713730353049,High-High
0400205,0.7147914817824701,Not Significant
0400202,0.005537013965653233,High-High
0400807,1.8983174367334513e-4,High-High
0400134,2.9519060973888793e-7,High-High
0400500,0.002762610029295643,High-High
0400204,0.15475316331745329,Not Significant
0400208,0.5410289816866921,Not Significant
0400805,0.0031021259544697184,High-High
0400203,0.15342821568435488,Not Significant
0500100,0.2920546219774511,Not Significant
0500300,0.2639154548842671,Not Significant
0500400,0.11899715600195877,Not Significant
0500500,0.03340511164995289,Spatial Outlier
0500600,0.20526299074886306,Not Significant
0500700,0.08217813934184541,Not Significant
0501800,0.06402913873951048,Not Significant
0501900,0.5877460075368648,Not Significant
0502000,0.2252970316962388,Not Significant
0501500,0.30713226482326206,Not Significant
0501400,0.40743886698582893,Not Significant
0500200,0.2724621985641656,Not Significant
0501600,0.6464282817617615,Not Significant
0501300,0.15678508573137087,Not Significant
0500800,0.20892130772245573,Not Significant
0501700,0.04782367682527302,Spatial Outlier
0501100,0.26487270738999796,Not Significant
0500900,0.3108528691727794,Not Significant
0501200,0.28388383920499133,Not Significant
0501000,0.4155712554396898,Not Significant
0607105,0.019505052271776572,High-High
0606503,0.009990129926574092,High-High
0607306,0.18112979820344063,Not Significant
0607318,0.06768688137473014,Not Significant
0606505,0.006573450652472006,High-High
0605912,0.366265511804347,Not Significant
0603763,0.07784432492434559,Not Significant
0603762,0.046649841616375504,High-High
0603729,0.11555208026716365,Not Significant
0603724,0.18540437010136968,Not Significant
0601500,0.143536485652573,Not Significant
0603746,0.0016384944358868174,High-High
0603721,0.18775433379678935,Not Significant
0603737,0.1686598290105528,Not Significant
0603754,0.33151573585825905,Not Significant
0603755,0.5702766509088061,Not Significant
0603752,0.009481590342647032,High-High
0603742,0.029215972449723373,High-High
0605302,0.01607457225307393,High-High
0608501,0.037986012640260934,High-High
0608106,0.07286872332105501,Not Significant
0608105,0.13361883545765707,Not Significant
0608103,0.133904768227757,Not Significant
0608102,0.15522263965925118,Not Significant
0607504,0.15083701600782068,Not Significant
0607502,0.007962256328119853,Spatial Outlier
0604102,0.799759463219913,Not Significant
0609702,0.18279906088620188,Not Significant
0600701,0.6783953744209115,Not Significant
0609903,4.631637622947e-7,High-High
0604702,0.00655342588699347,High-High
