channel,n,iv_beta,fs_F_hc,fs_F_clust,p_iid,p_hc,p_clust,p_conley
Bartik industry-mix (only),2709,-0.015,21,12.9,0.929,0.937,0.93,0.946
HMDA high-cost share (only),2709,-0.424,27.7,6.9,0.007,0.026,0.136,0.134
